jfid;jlid;nemz;pa;pf;po;pk;pl;pm;pn
57602;9;5;'11';'9';'0';'9';'0';'0';'9'
57606;9;5;'6';'6';'0';'6';'0';'0';'6'
57610;9;5;'3';'2';'0';'2';'0';'0';'2'
57622;9;5;'17';'16';'0';'16';'0';'2';'14'
57624;9;5;'8';'5';'0';'5';'0';'0';'5'
57630;9;5;'4';'4';'0';'4';'0';'0';'4'
57640;5;7;'5';'4';'0';'4';'0';'3';'1'
57642;5;7;'2';'1';'0';'1';'0';'0';'1'
57648;9;5;'1';'1';'0';'1';'0';'1';'0'
57656;9;5;'1';'1';'0';'1';'0';'0';'1'
57664;10;11;'27';'21';'0';'21';'0';'4';'17'
57666;9;5;'1';'1';'0';'1';'0';'0';'1'
57670;5;7;'9';'2';'0';'2';'0';'0';'2'
57670;9;5;'1';'1';'0';'1';'0';'0';'1'
57672;7;4;'3';'3';'0';'3';'0';'1';'2'
57674;5;7;'30';'12';'0';'12';'0';'3';'9'
57678;9;5;'11';'10';'0';'10';'0';'0';'10'
57680;7;4;'9';'8';'0';'8';'0';'0';'8'
57682;3;9;'1';'0';'0';'0';'0';'0';'0'
57682;7;4;'1';'1';'0';'1';'0';'0';'1'
57688;9;5;'23';'19';'0';'19';'0';'3';'16'
57696;9;5;'1';'0';'0';'0';'0';'0';'0'
57698;9;5;'1';'1';'0';'1';'0';'0';'1'
57700;9;5;'1';'1';'0';'1';'0';'0';'1'
57702;9;5;'2';'2';'0';'2';'0';'0';'2'
57704;9;5;'0';'0';'0';'0';'0';'0';'0'
57708;9;5;'1';'1';'0';'1';'0';'0';'1'
57712;9;5;'14';'12';'0';'12';'0';'0';'12'
57714;2;2;'1';'1';'0';'1';'0';'0';'1'
57714;9;5;'4';'2';'0';'2';'0';'0';'2'
57716;9;5;'3';'3';'0';'3';'0';'0';'3'
57718;9;5;'10';'10';'0';'10';'0';'0';'10'
57720;9;5;'26';'26';'0';'26';'0';'2';'24'
57722;9;5;'2';'2';'0';'2';'0';'0';'2'
57724;9;5;'16';'15';'0';'14';'-1';'0';'14'
57726;9;5;'22';'22';'0';'22';'0';'2';'20'
57728;9;5;'9';'7';'0';'7';'0';'0';'7'
57730;9;5;'7';'7';'0';'7';'0';'0';'7'
57732;9;5;'7';'7';'0';'7';'0';'0';'7'
57734;9;5;'16';'14';'0';'14';'0';'0';'14'
57736;9;5;'30';'27';'0';'27';'0';'3';'24'
57736;33;6;'1';'0';'0';'0';'0';'0';'0'
57738;9;5;'50';'40';'0';'37';'-3';'2';'35'
57740;7;4;'1';'1';'0';'1';'0';'0';'1'
57740;9;5;'46';'42';'0';'42';'0';'3';'39'
57742;9;5;'48';'45';'0';'43';'-2';'0';'43'
57744;2;2;'3';'3';'0';'3';'0';'0';'3'
57744;9;5;'36';'33';'0';'33';'0';'6';'27'
57746;2;2;'1';'1';'0';'1';'0';'0';'1'
57746;9;5;'48';'42';'0';'42';'0';'6';'36'
57746;13;13;'1';'1';'0';'1';'0';'1';'0'
57748;9;5;'38';'36';'0';'36';'0';'1';'35'
57750;7;4;'1';'1';'0';'1';'0';'0';'1'
57750;9;5;'29';'26';'0';'26';'0';'1';'25'
57752;5;7;'4';'0';'0';'0';'0';'0';'0'
57752;9;5;'44';'38';'0';'38';'0';'4';'34'
57754;5;7;'1';'0';'0';'0';'0';'0';'0'
57754;9;5;'36';'34';'0';'34';'0';'2';'32'
57754;33;6;'3';'1';'0';'1';'0';'1';'0'
57756;2;2;'2';'2';'0';'2';'0';'0';'2'
57756;9;5;'44';'38';'0';'38';'0';'5';'33'
57756;33;6;'2';'1';'0';'1';'0';'1';'0'
57758;2;2;'1';'1';'0';'1';'0';'0';'1'
57758;9;5;'56';'52';'0';'52';'0';'9';'43'
57758;33;6;'1';'0';'0';'0';'0';'0';'0'
57760;9;5;'18';'16';'0';'16';'0';'5';'11'
57760;33;6;'2';'2';'0';'2';'0';'1';'1'
57762;9;5;'14';'12';'0';'12';'0';'0';'12'
57764;9;5;'10';'8';'0';'8';'0';'0';'8'
57766;9;5;'19';'18';'0';'18';'0';'1';'17'
57768;2;2;'1';'1';'0';'1';'0';'0';'1'
57768;9;5;'6';'4';'0';'3';'-1';'0';'3'
57770;2;2;'1';'0';'0';'0';'0';'0';'0'
