jfid;jlid;nemz;pa;pf;po;pk;pl;pm;pn
44840;9;5;'1';'1';'0';'1';'0';'0';'1'
44842;5;7;'5';'3';'0';'3';'0';'2';'1'
44842;13;13;'2';'2';'0';'2';'0';'0';'2'
44844;3;9;'0';'0';'0';'0';'0';'0';'0'
44844;5;7;'0';'0';'0';'0';'0';'0';'0'
44844;6;3;'0';'0';'0';'0';'0';'0';'0'
44844;9;5;'0';'0';'0';'0';'0';'0';'0'
44846;7;4;'1';'1';'0';'1';'0';'0';'1'
44846;9;5;'1';'1';'0';'1';'0';'0';'1'
44848;5;7;'2';'0';'0';'0';'0';'0';'0'
44848;13;13;'1';'0';'0';'0';'0';'0';'0'
44850;13;13;'1';'0';'0';'0';'0';'0';'0'
44854;5;7;'1';'0';'0';'0';'0';'0';'0'
44854;9;5;'2';'2';'0';'2';'0';'0';'2'
44864;2;2;'2';'2';'0';'2';'0';'0';'2'
44864;33;6;'1';'1';'0';'1';'0';'0';'1'
44866;6;3;'1';'0';'0';'0';'0';'0';'0'
44868;9;5;'2';'2';'0';'1';'-1';'0';'1'
44870;5;7;'1';'0';'0';'0';'0';'0';'0'
44870;9;5;'3';'3';'0';'3';'0';'1';'2'
44874;6;3;'1';'1';'0';'1';'0';'0';'1'
44874;9;5;'1';'1';'0';'1';'0';'0';'1'
44876;5;7;'1';'0';'0';'0';'0';'0';'0'
44878;6;3;'1';'1';'0';'1';'0';'0';'1'
44878;7;4;'2';'2';'0';'2';'0';'0';'2'
44878;9;5;'2';'2';'0';'2';'0';'0';'2'
44880;5;7;'1';'0';'0';'0';'0';'0';'0'
44880;13;13;'3';'2';'0';'2';'0';'0';'2'
44882;2;2;'1';'1';'0';'1';'0';'1';'0'
44882;9;5;'2';'2';'0';'2';'0';'0';'2'
44882;10;11;'1';'1';'0';'1';'0';'0';'1'
44884;5;7;'1';'0';'0';'0';'0';'0';'0'
44886;3;9;'3';'3';'0';'3';'0';'0';'3'
44890;2;2;'2';'2';'0';'2';'0';'1';'1'
44890;9;5;'1';'1';'0';'1';'0';'0';'1'
44892;2;2;'1';'0';'0';'0';'0';'0';'0'
44894;2;2;'2';'2';'0';'2';'0';'1';'1'
44898;13;13;'1';'1';'0';'1';'0';'1';'0'
44904;5;7;'1';'0';'0';'0';'0';'0';'0'
44904;9;5;'1';'1';'0';'1';'0';'0';'1'
44906;5;7;'1';'0';'0';'0';'0';'0';'0'
44906;9;5;'1';'1';'0';'1';'0';'0';'1'
44908;9;5;'1';'1';'0';'1';'0';'0';'1'
44912;13;13;'1';'1';'0';'1';'0';'0';'1'
44914;5;7;'1';'0';'0';'0';'0';'0';'0'
44916;3;9;'4';'4';'0';'4';'0';'2';'2'
44916;5;7;'1';'1';'0';'1';'0';'0';'1'
44918;5;7;'1';'0';'0';'0';'0';'0';'0'
44918;9;5;'2';'2';'0';'2';'0';'1';'1'
44920;7;4;'2';'1';'0';'1';'0';'0';'1'
44920;9;5;'3';'3';'0';'3';'0';'2';'1'
44922;5;7;'1';'0';'0';'0';'0';'0';'0'
44926;3;9;'1';'1';'0';'1';'0';'0';'1'
44926;6;3;'2';'2';'0';'2';'0';'0';'2'
44926;13;13;'1';'0';'0';'0';'0';'0';'0'
44928;6;3;'1';'1';'0';'1';'0';'0';'1'
44928;9;5;'1';'1';'0';'1';'0';'0';'1'
44932;5;7;'2';'0';'0';'0';'0';'0';'0'
44932;9;5;'2';'2';'0';'2';'0';'1';'1'
44940;3;9;'1';'1';'0';'1';'0';'1';'0'
44946;5;7;'1';'0';'0';'0';'0';'0';'0'
44946;6;3;'1';'1';'0';'1';'0';'0';'1'
44948;5;7;'1';'1';'0';'1';'0';'0';'1'
44948;9;5;'3';'2';'0';'2';'0';'0';'2'
44950;5;7;'1';'0';'0';'0';'0';'0';'0'
44950;6;3;'7';'6';'0';'6';'0';'1';'5'
44952;5;7;'1';'0';'0';'0';'0';'0';'0'
44952;6;3;'23';'17';'0';'17';'0';'1';'16'
44952;9;5;'36';'28';'0';'28';'0';'2';'26'
44956;5;7;'8';'3';'0';'3';'0';'1';'2'
44956;6;3;'5';'5';'0';'5';'0';'0';'5'
44956;9;5;'37';'32';'0';'32';'0';'1';'31'
44962;5;7;'45';'22';'0';'22';'0';'8';'14'
44964;5;7;'2';'0';'0';'0';'0';'0';'0'
44966;5;7;'23';'0';'0';'0';'0';'0';'0'
44982;9;5;'11';'9';'0';'9';'0';'0';'9'
44984;7;4;'1';'1';'0';'1';'0';'0';'1'
44984;9;5;'28';'24';'0';'24';'0';'1';'23'
44986;9;5;'1';'1';'0';'1';'0';'0';'1'
44988;5;7;'22';'8';'0';'8';'0';'3';'5'
44988;9;5;'56';'49';'0';'49';'0';'1';'48'
44990;5;7;'9';'7';'0';'7';'0';'3';'4'
44992;5;7;'19';'11';'0';'11';'0';'3';'8'
44994;5;7;'8';'6';'0';'6';'0';'3';'3'
44998;9;5;'1';'1';'0';'1';'0';'0';'1'
45000;5;7;'1';'1';'0';'1';'0';'0';'1'
45002;5;7;'6';'2';'0';'2';'0';'0';'2'
45002;9;5;'5';'4';'0';'4';'0';'0';'4'
45004;5;7;'6';'5';'0';'5';'0';'2';'3'
45004;9;5;'6';'6';'0';'6';'0';'0';'6'
45006;5;7;'2';'0';'0';'0';'0';'0';'0'
45006;9;5;'3';'3';'0';'3';'0';'0';'3'
45008;5;7;'2';'2';'0';'2';'0';'0';'2'
45008;9;5;'1';'1';'0';'1';'0';'0';'1'
45010;5;7;'12';'5';'0';'5';'0';'1';'4'
45012;5;7;'5';'1';'0';'1';'0';'0';'1'
45012;9;5;'1';'1';'0';'1';'0';'0';'1'
45014;5;7;'2';'1';'0';'1';'0';'0';'1'
45014;9;5;'11';'11';'0';'11';'0';'0';'11'
45016;5;7;'1';'0';'0';'0';'0';'0';'0'
45016;9;5;'5';'4';'0';'4';'0';'0';'4'
45018;3;9;'1';'0';'0';'0';'0';'0';'0'
45018;5;7;'1';'1';'0';'1';'0';'0';'1'
45018;9;5;'3';'3';'0';'3';'0';'0';'3'
45020;9;5;'1';'1';'0';'1';'0';'0';'1'
45022;2;2;'1';'1';'0';'1';'0';'0';'1'
45022;9;5;'11';'10';'0';'8';'-2';'1';'7'
45024;5;7;'34';'14';'0';'14';'0';'7';'7'
45026;5;7;'43';'26';'0';'26';'0';'5';'21'
45026;9;5;'4';'4';'0';'4';'0';'0';'4'
45028;5;7;'2';'0';'0';'0';'0';'0';'0'
45028;9;5;'4';'2';'0';'0';'-2';'0';'0'
45030;9;5;'5';'3';'0';'3';'0';'0';'3'
45032;5;7;'2';'1';'0';'1';'0';'0';'1'
45032;6;3;'1';'1';'0';'1';'0';'0';'1'
45032;9;5;'2';'2';'0';'2';'0';'1';'1'
45034;5;7;'4';'3';'0';'3';'0';'0';'3'
45034;6;3;'1';'1';'0';'1';'0';'0';'1'
45036;5;7;'15';'7';'0';'7';'0';'2';'5'
45038;5;7;'11';'8';'0';'8';'0';'2';'6'
45038;9;5;'2';'2';'0';'2';'0';'0';'2'
45040;5;7;'2';'2';'0';'2';'0';'0';'2'
45040;9;5;'2';'2';'0';'2';'0';'0';'2'
45042;6;3;'1';'1';'0';'1';'0';'0';'1'
45042;9;5;'2';'0';'0';'0';'0';'0';'0'
45044;5;7;'6';'1';'0';'1';'0';'0';'1'
45044;9;5;'6';'6';'0';'6';'0';'1';'5'
45052;5;7;'1';'0';'0';'0';'0';'0';'0'
45052;6;3;'7';'7';'0';'7';'0';'0';'7'
45052;9;5;'7';'7';'0';'7';'0';'0';'7'
45054;6;3;'7';'6';'0';'6';'0';'1';'5'
45054;9;5;'16';'15';'0';'15';'0';'0';'15'
45056;6;3;'7';'7';'0';'7';'0';'0';'7'
45056;9;5;'15';'13';'0';'13';'0';'0';'13'
45056;19;8;'2';'0';'0';'0';'0';'0';'0'
45058;6;3;'7';'7';'0';'7';'0';'0';'7'
45058;9;5;'12';'8';'0';'8';'0';'1';'7'
45060;6;3;'11';'11';'0';'11';'0';'1';'10'
45060;9;5;'12';'11';'0';'11';'0';'0';'11'
45062;5;7;'20';'15';'0';'15';'0';'4';'11'
45064;5;7;'2';'1';'0';'1';'0';'0';'1'
45066;6;3;'26';'25';'0';'25';'0';'0';'25'
45066;9;5;'2';'2';'0';'2';'0';'1';'1'
45066;11;10;'1';'1';'0';'1';'0';'0';'1'
45068;5;7;'2';'0';'0';'0';'0';'0';'0'
45068;9;5;'26';'21';'0';'21';'0';'3';'18'
45070;5;7;'9';'3';'0';'3';'0';'3';'0'
45070;7;4;'1';'1';'0';'1';'0';'0';'1'
45070;9;5;'2';'2';'0';'2';'0';'0';'2'
45072;5;7;'26';'18';'0';'18';'0';'6';'12'
45074;6;3;'1';'1';'0';'1';'0';'0';'1'
45076;9;5;'1';'1';'0';'1';'0';'0';'1'
45078;5;7;'7';'3';'0';'3';'0';'0';'3'
45078;6;3;'5';'5';'0';'5';'0';'0';'5'
45078;9;5;'63';'57';'0';'57';'0';'1';'56'
45080;5;7;'33';'23';'0';'22';'-1';'7';'15'
45080;9;5;'25';'22';'0';'22';'0';'3';'19'
45082;5;7;'26';'21';'0';'21';'0';'2';'19'
45084;9;5;'79';'64';'0';'64';'0';'5';'59'
45086;9;5;'68';'47';'0';'47';'0';'7';'40'
45088;6;3;'3';'3';'0';'3';'0';'0';'3'
45088;9;5;'1';'1';'0';'1';'0';'0';'1'
45090;19;8;'1';'1';'0';'1';'0';'0';'1'
45102;9;5;'1';'1';'0';'1';'0';'1';'0'
45104;9;5;'11';'10';'0';'10';'0';'2';'8'
45106;6;3;'1';'1';'0';'1';'0';'0';'1'
45106;9;5;'10';'10';'0';'8';'-2';'1';'7'
45108;9;5;'6';'6';'0';'6';'0';'0';'6'
45110;9;5;'14';'13';'0';'12';'-1';'2';'10'
45112;9;5;'17';'16';'0';'16';'0';'0';'16'
45114;9;5;'1';'1';'0';'1';'0';'0';'1'
45116;9;5;'4';'3';'0';'3';'0';'1';'2'
45118;5;7;'1';'0';'0';'0';'0';'0';'0'
45118;9;5;'4';'4';'0';'4';'0';'0';'4'
45120;9;5;'1';'1';'0';'1';'0';'0';'1'
45122;9;5;'8';'6';'0';'6';'0';'0';'6'
45126;9;5;'1';'1';'0';'1';'0';'0';'1'
45128;5;7;'1';'1';'0';'1';'0';'0';'1'
45130;9;5;'5';'5';'0';'5';'0';'0';'5'
45138;9;5;'3';'3';'0';'3';'0';'1';'2'
45138;19;8;'3';'3';'0';'3';'0';'0';'3'
45140;9;5;'9';'8';'0';'8';'0';'0';'8'
45140;19;8;'1';'1';'0';'1';'0';'0';'1'
45142;9;5;'2';'2';'0';'3';'1';'1';'2'
45142;19;8;'5';'4';'0';'4';'0';'0';'4'
45144;9;5;'11';'9';'0';'9';'0';'0';'9'
45144;19;8;'2';'0';'0';'0';'0';'0';'0'
45146;9;5;'3';'3';'0';'3';'0';'0';'3'
45146;19;8;'1';'1';'0';'1';'0';'0';'1'
45148;9;5;'3';'3';'0';'3';'0';'0';'3'
45148;19;8;'4';'3';'0';'3';'0';'0';'3'
45150;9;5;'12';'10';'0';'10';'0';'1';'9'
45150;19;8;'1';'0';'0';'0';'0';'0';'0'
45152;9;5;'13';'12';'0';'12';'0';'1';'11'
45152;19;8;'7';'6';'0';'6';'0';'0';'6'
45154;6;3;'1';'1';'0';'1';'0';'0';'1'
45154;9;5;'16';'15';'0';'15';'0';'3';'12'
45154;19;8;'1';'1';'0';'1';'0';'0';'1'
45156;9;5;'41';'36';'0';'36';'0';'5';'31'
45158;9;5;'9';'5';'0';'5';'0';'0';'5'
45158;19;8;'2';'2';'0';'2';'0';'0';'2'
45160;9;5;'8';'5';'0';'5';'0';'0';'5'
45160;19;8;'1';'0';'0';'0';'0';'0';'0'
45162;9;5;'13';'13';'0';'13';'0';'0';'13'
45162;19;8;'2';'1';'0';'1';'0';'0';'1'
45164;9;5;'9';'5';'0';'5';'0';'0';'5'
45164;19;8;'1';'0';'0';'0';'0';'0';'0'
45166;9;5;'18';'18';'0';'17';'-1';'3';'14'
45166;19;8;'1';'0';'0';'0';'0';'0';'0'
45168;9;5;'6';'5';'0';'5';'0';'0';'5'
45168;19;8;'1';'1';'0';'1';'0';'1';'0'
45170;9;5;'7';'7';'0';'7';'0';'2';'5'
45172;9;5;'10';'9';'0';'9';'0';'1';'8'
45174;9;5;'7';'5';'0';'5';'0';'1';'4'
45174;19;8;'1';'0';'0';'0';'0';'0';'0'
45176;9;5;'1';'0';'0';'0';'0';'0';'0'
45176;19;8;'6';'6';'0';'6';'0';'0';'6'
45178;9;5;'2';'2';'0';'2';'0';'0';'2'
45178;11;10;'1';'0';'0';'0';'0';'0';'0'
45178;19;8;'23';'21';'0';'18';'-3';'3';'15'
45180;9;5;'7';'5';'0';'5';'0';'0';'5'
45180;19;8;'10';'6';'0';'6';'0';'0';'6'
45182;9;5;'5';'5';'0';'5';'0';'0';'5'
45182;19;8;'6';'5';'0';'5';'0';'1';'4'
45184;9;5;'1';'1';'0';'1';'0';'0';'1'
45186;9;5;'6';'5';'0';'5';'0';'0';'5'
45186;19;8;'6';'5';'0';'5';'0';'3';'2'
45188;9;5;'1';'1';'0';'1';'0';'0';'1'
45192;9;5;'1';'1';'0';'1';'0';'0';'1'
45192;19;8;'2';'1';'0';'1';'0';'0';'1'
45194;9;5;'2';'1';'0';'1';'0';'0';'1'
45196;5;7;'0';'0';'0';'0';'0';'0';'0'
45196;9;5;'0';'0';'0';'0';'0';'0';'0'
45196;19;8;'0';'0';'0';'0';'0';'0';'0'
45204;10;11;'4';'4';'0';'4';'0';'0';'4'
45218;9;5;'1';'1';'0';'1';'0';'1';'0'
45220;19;8;'18';'15';'0';'14';'-1';'0';'14'
45222;9;5;'1';'1';'0';'1';'0';'0';'1'
45222;19;8;'28';'19';'0';'19';'0';'5';'14'
45224;19;8;'68';'51';'0';'51';'0';'3';'48'
45226;5;7;'51';'21';'0';'21';'0';'4';'17'
45226;9;5;'24';'19';'0';'19';'0';'3';'16'
45228;5;7;'40';'21';'0';'21';'0';'9';'12'
45228;9;5;'8';'5';'0';'5';'0';'3';'2'
45230;5;7;'3';'0';'0';'0';'0';'0';'0'
45230;9;5;'22';'12';'0';'12';'0';'2';'10'
45232;5;7;'8';'3';'0';'3';'0';'0';'3'
45232;9;5;'12';'10';'0';'10';'0';'3';'7'
45234;5;7;'37';'25';'0';'24';'-1';'4';'20'
45238;5;7;'1';'0';'0';'0';'0';'0';'0'
45240;5;7;'2';'0';'0';'0';'0';'0';'0'
45244;5;7;'1';'1';'0';'1';'0';'0';'1'
45244;9;5;'1';'1';'0';'1';'0';'0';'1'
45246;5;7;'2';'1';'0';'1';'0';'1';'0'
45246;9;5;'7';'7';'0';'7';'0';'0';'7'
45248;9;5;'22';'20';'0';'20';'0';'1';'19'
45250;9;5;'14';'13';'0';'13';'0';'0';'13'
45252;5;7;'8';'2';'0';'2';'0';'0';'2'
45252;9;5;'5';'4';'0';'4';'0';'0';'4'
45254;3;9;'1';'1';'0';'1';'0';'0';'1'
45254;5;7;'16';'11';'0';'11';'0';'6';'5'
45254;9;5;'2';'2';'0';'2';'0';'0';'2'
45256;5;7;'1';'1';'0';'1';'0';'0';'1'
45256;9;5;'4';'3';'0';'3';'0';'0';'3'
45258;5;7;'7';'4';'0';'4';'0';'0';'4'
45258;9;5;'6';'5';'0';'5';'0';'0';'5'
45260;9;5;'2';'2';'0';'2';'0';'0';'2'
45264;3;9;'8';'8';'0';'8';'0';'0';'8'
45266;3;9;'5';'5';'0';'5';'0';'0';'5'
45266;9;5;'1';'1';'0';'1';'0';'0';'1'
45268;3;9;'1';'1';'0';'1';'0';'0';'1'
45270;3;9;'2';'2';'0';'2';'0';'0';'2'
45270;5;7;'2';'2';'0';'2';'0';'0';'2'
45278;5;7;'2';'2';'0';'2';'0';'0';'2'
45282;5;7;'1';'0';'0';'0';'0';'0';'0'
45290;5;7;'7';'6';'0';'6';'0';'4';'2'
45290;9;5;'2';'0';'0';'0';'0';'0';'0'
45292;7;4;'3';'3';'0';'3';'0';'0';'3'
45292;9;5;'5';'4';'0';'4';'0';'0';'4'
45298;5;7;'3';'0';'0';'0';'0';'0';'0'
45300;5;7;'92';'46';'0';'46';'0';'11';'35'
45300;9;5;'2';'0';'0';'0';'0';'0';'0'
45304;5;7;'1';'1';'0';'1';'0';'0';'1'
45306;5;7;'1';'0';'0';'0';'0';'0';'0'
45312;5;7;'4';'1';'0';'1';'0';'1';'0'
45314;5;7;'14';'8';'0';'8';'0';'5';'3'
45316;5;7;'10';'6';'0';'6';'0';'2';'4'
45320;5;7;'1';'1';'0';'1';'0';'0';'1'
45324;5;7;'1';'0';'0';'0';'0';'0';'0'
45324;9;5;'1';'1';'0';'1';'0';'0';'1'
45326;5;7;'26';'10';'0';'10';'0';'2';'8'
45326;9;5;'1';'1';'0';'1';'0';'1';'0'
45328;5;7;'3';'0';'0';'0';'0';'0';'0'
45334;5;7;'1';'0';'0';'0';'0';'0';'0'
45336;5;7;'1';'0';'0';'0';'0';'0';'0'
45336;10;11;'1';'0';'0';'0';'0';'0';'0'
45344;5;7;'19';'4';'0';'4';'0';'0';'4'
45352;5;7;'1';'1';'0';'1';'0';'0';'1'
45352;33;6;'1';'1';'0';'1';'0';'1';'0'
45356;5;7;'8';'4';'0';'4';'0';'2';'2'
45358;5;7;'11';'5';'0';'5';'0';'2';'3'
45360;5;7;'12';'5';'0';'5';'0';'1';'4'
45362;5;7;'24';'15';'0';'14';'-1';'8';'6'
45364;6;3;'2';'1';'0';'1';'0';'0';'1'
45366;3;9;'1';'1';'0';'1';'0';'0';'1'
45368;9;5;'2';'2';'0';'2';'0';'0';'2'
45370;5;7;'1';'0';'0';'0';'0';'0';'0'
45374;9;5;'1';'1';'0';'1';'0';'1';'0'
45376;17;1;'1';'1';'0';'1';'0';'0';'1'
45380;7;4;'2';'2';'0';'2';'0';'0';'2'
45382;7;4;'1';'1';'0';'1';'0';'0';'1'
45384;9;5;'2';'2';'0';'2';'0';'0';'2'
45384;33;6;'1';'1';'0';'1';'0';'0';'1'
45386;9;5;'1';'0';'0';'0';'0';'0';'0'
45388;9;5;'3';'3';'0';'3';'0';'0';'3'
45390;3;9;'2';'2';'0';'0';'-2';'0';'0'
45390;5;7;'1';'0';'0';'0';'0';'0';'0'
45390;9;5;'2';'2';'0';'2';'0';'0';'2'
45392;9;5;'1';'1';'0';'1';'0';'0';'1'
45392;11;10;'1';'1';'0';'1';'0';'0';'1'
45394;9;5;'2';'2';'0';'2';'0';'1';'1'
45394;33;6;'2';'1';'0';'1';'0';'1';'0'
45396;3;9;'1';'0';'0';'0';'0';'0';'0'
45396;9;5;'2';'2';'0';'2';'0';'0';'2'
45396;11;10;'1';'1';'0';'1';'0';'0';'1'
45398;9;5;'1';'1';'0';'1';'0';'0';'1'
45400;33;6;'1';'0';'0';'0';'0';'0';'0'
45402;9;5;'1';'1';'0';'1';'0';'0';'1'
45406;3;9;'1';'0';'0';'0';'0';'0';'0'
45406;9;5;'2';'1';'0';'1';'0';'0';'1'
45406;10;11;'1';'1';'0';'1';'0';'0';'1'
45406;17;1;'1';'0';'0';'0';'0';'0';'0'
45406;33;6;'3';'3';'0';'2';'-1';'0';'2'
45408;13;13;'1';'1';'0';'1';'0';'0';'1'
45410;9;5;'2';'2';'0';'2';'0';'0';'2'
45410;11;10;'1';'1';'0';'1';'0';'0';'1'
45412;9;5;'1';'1';'0';'1';'0';'0';'1'
45414;9;5;'2';'2';'0';'2';'0';'0';'2'
45418;7;4;'1';'1';'0';'1';'0';'0';'1'
45420;2;2;'1';'1';'0';'1';'0';'0';'1'
45420;13;13;'1';'1';'0';'1';'0';'0';'1'
45422;9;5;'1';'1';'0';'1';'0';'0';'1'
45422;13;13;'1';'1';'0';'1';'0';'1';'0'
45424;3;9;'1';'1';'0';'1';'0';'0';'1'
45424;9;5;'5';'5';'0';'5';'0';'1';'4'
45426;9;5;'1';'1';'0';'1';'0';'0';'1'
45430;9;5;'2';'2';'0';'2';'0';'0';'2'
45432;9;5;'5';'5';'0';'5';'0';'0';'5'
45434;2;2;'1';'0';'0';'0';'0';'0';'0'
45434;9;5;'3';'3';'0';'3';'0';'0';'3'
45436;9;5;'1';'1';'0';'1';'0';'0';'1'
45436;19;8;'1';'1';'0';'1';'0';'1';'0'
45438;3;9;'1';'1';'0';'1';'0';'0';'1'
45438;9;5;'1';'1';'0';'1';'0';'0';'1'
45442;9;5;'3';'3';'0';'3';'0';'0';'3'
45446;9;5;'1';'1';'0';'1';'0';'0';'1'
45448;9;5;'2';'2';'0';'2';'0';'0';'2'
45448;10;11;'1';'1';'0';'1';'0';'0';'1'
45450;9;5;'3';'3';'0';'2';'-1';'1';'1'
45450;11;10;'1';'1';'0';'1';'0';'0';'1'
45450;13;13;'1';'0';'0';'0';'0';'0';'0'
45452;9;5;'7';'7';'0';'7';'0';'0';'7'
45454;9;5;'1';'1';'0';'1';'0';'0';'1'
45456;5;7;'2';'0';'0';'0';'0';'0';'0'
45458;9;5;'4';'3';'0';'2';'-1';'0';'2'
45462;9;5;'2';'2';'0';'2';'0';'0';'2'
45462;13;13;'3';'3';'0';'3';'0';'0';'3'
45466;7;4;'1';'1';'0';'1';'0';'0';'1'
45466;9;5;'2';'1';'0';'1';'0';'0';'1'
45468;9;5;'4';'4';'0';'4';'0';'0';'4'
45470;9;5;'3';'3';'0';'3';'0';'0';'3'
45470;19;8;'1';'1';'0';'1';'0';'0';'1'
45472;3;9;'1';'1';'0';'1';'0';'1';'0'
45472;6;3;'1';'1';'0';'1';'0';'0';'1'
45472;9;5;'5';'5';'0';'5';'0';'1';'4'
45472;13;13;'3';'2';'0';'2';'0';'0';'2'
45474;9;5;'5';'5';'0';'5';'0';'0';'5'
45480;9;5;'3';'3';'0';'3';'0';'3';'0'
45484;9;5;'2';'2';'0';'2';'0';'0';'2'
45484;13;13;'2';'1';'0';'1';'0';'0';'1'
45486;9;5;'1';'1';'0';'1';'0';'0';'1'
45488;9;5;'1';'1';'0';'1';'0';'0';'1'
45492;9;5;'2';'0';'0';'0';'0';'0';'0'
45494;3;9;'1';'1';'0';'1';'0';'0';'1'
45494;9;5;'2';'1';'0';'1';'0';'0';'1'
45496;2;2;'1';'1';'0';'1';'0';'1';'0'
45496;5;7;'1';'0';'0';'0';'0';'0';'0'
45496;9;5;'1';'1';'0';'1';'0';'0';'1'
45498;9;5;'1';'1';'0';'1';'0';'0';'1'
45500;9;5;'1';'1';'0';'1';'0';'0';'1'
45502;5;7;'1';'1';'0';'1';'0';'0';'1'
45502;9;5;'1';'1';'0';'1';'0';'0';'1'
45504;5;7;'40';'16';'0';'16';'0';'7';'9'
45506;9;5;'33';'27';'0';'27';'0';'0';'27'
45506;11;10;'3';'3';'0';'3';'0';'0';'3'
45508;5;7;'30';'19';'0';'19';'0';'8';'11'
45508;9;5;'38';'25';'0';'25';'0';'2';'23'
45510;5;7;'22';'12';'0';'12';'0';'4';'8'
45510;9;5;'21';'18';'0';'18';'0';'0';'18'
45512;5;7;'1';'1';'0';'1';'0';'1';'0'
45512;9;5;'25';'18';'0';'18';'0';'3';'15'
45516;5;7;'45';'26';'0';'26';'0';'12';'14'
45518;9;5;'1';'1';'0';'1';'0';'0';'1'
45520;5;7;'4';'3';'0';'3';'0';'1';'2'
45520;9;5;'51';'51';'0';'51';'0';'2';'49'
45522;5;7;'33';'0';'0';'0';'0';'0';'0'
45524;9;5;'33';'27';'0';'27';'0';'0';'27'
45526;9;5;'34';'28';'0';'28';'0';'2';'26'
45530;5;7;'2';'2';'0';'2';'0';'0';'2'
45534;5;7;'30';'18';'0';'18';'0';'9';'9'
45536;5;7;'10';'3';'0';'3';'0';'0';'3'
45536;9;5;'18';'14';'0';'14';'0';'1';'13'
45538;5;7;'13';'5';'0';'5';'0';'3';'2'
45538;9;5;'16';'14';'0';'14';'0';'1';'13'
45540;5;7;'31';'21';'0';'20';'-1';'7';'13'
45544;9;5;'35';'21';'0';'21';'0';'0';'21'
45546;9;5;'117';'97';'0';'97';'0';'20';'77'
45548;5;7;'4';'1';'0';'1';'0';'0';'1'
45548;9;5;'72';'62';'0';'62';'0';'13';'49'
45550;5;7;'2';'2';'0';'2';'0';'0';'2'
45550;9;5;'26';'15';'0';'15';'0';'0';'15'
45552;9;5;'171';'136';'0';'136';'0';'14';'122'
45554;9;5;'131';'111';'0';'111';'0';'4';'107'
45564;5;7;'1';'1';'0';'1';'0';'0';'1'
45564;9;5;'9';'7';'0';'7';'0';'1';'6'
45566;9;5;'30';'25';'0';'25';'0';'3';'22'
45568;5;7;'4';'1';'0';'1';'0';'0';'1'
45568;9;5;'19';'16';'0';'16';'0';'0';'16'
45570;5;7;'2';'0';'0';'0';'0';'0';'0'
45570;6;3;'4';'4';'0';'4';'0';'0';'4'
45570;9;5;'16';'16';'0';'16';'0';'2';'14'
45570;11;10;'2';'2';'0';'2';'0';'0';'2'
45572;5;7;'0';'0';'0';'0';'0';'0';'0'
45572;6;3;'0';'0';'0';'0';'0';'0';'0'
45572;9;5;'0';'0';'0';'0';'0';'0';'0'
45574;5;7;'1';'0';'0';'0';'0';'0';'0'
45574;6;3;'3';'2';'0';'2';'0';'0';'2'
45574;9;5;'21';'17';'0';'17';'0';'3';'14'
45576;5;7;'1';'0';'0';'0';'0';'0';'0'
45576;6;3;'1';'1';'0';'1';'0';'0';'1'
45576;9;5;'17';'13';'0';'13';'0';'0';'13'
45578;5;7;'1';'0';'0';'0';'0';'0';'0'
45578;6;3;'6';'5';'0';'5';'0';'0';'5'
45578;9;5;'14';'12';'0';'12';'0';'0';'12'
45578;11;10;'2';'2';'0';'2';'0';'0';'2'
45580;5;7;'8';'7';'0';'7';'0';'0';'7'
45580;6;3;'1';'1';'0';'1';'0';'0';'1'
45580;9;5;'32';'30';'0';'30';'0';'0';'30'
45582;6;3;'1';'1';'0';'1';'0';'0';'1'
45582;9;5;'30';'27';'0';'27';'0';'0';'27'
45582;11;10;'2';'2';'0';'2';'0';'0';'2'
45584;5;7;'21';'7';'0';'7';'0';'1';'6'
45584;6;3;'2';'1';'0';'1';'0';'0';'1'
45584;9;5;'2';'1';'0';'1';'0';'0';'1'
45586;5;7;'4';'1';'0';'1';'0';'1';'0'
45586;6;3;'2';'2';'0';'2';'0';'0';'2'
45586;9;5;'23';'20';'0';'20';'0';'2';'18'
45588;5;7;'7';'4';'0';'3';'-1';'1';'2'
45588;9;5;'9';'7';'0';'7';'0';'0';'7'
45588;11;10;'1';'1';'0';'1';'0';'0';'1'
45590;5;7;'2';'0';'0';'0';'0';'0';'0'
45590;6;3;'2';'2';'0';'2';'0';'0';'2'
45590;9;5;'11';'11';'0';'11';'0';'0';'11'
45592;5;7;'2';'1';'0';'1';'0';'1';'0'
45592;6;3;'3';'3';'0';'3';'0';'0';'3'
45592;9;5;'20';'20';'0';'20';'0';'1';'19'
45594;5;7;'1';'0';'0';'0';'0';'0';'0'
45594;6;3;'1';'0';'0';'0';'0';'0';'0'
45594;9;5;'23';'23';'0';'23';'0';'0';'23'
45596;5;7;'22';'12';'0';'12';'0';'0';'12'
45596;6;3;'2';'1';'0';'1';'0';'0';'1'
45596;9;5;'10';'8';'0';'8';'0';'0';'8'
45598;5;7;'24';'9';'0';'8';'-1';'3';'5'
45598;6;3;'1';'1';'0';'1';'0';'0';'1'
45598;9;5;'3';'3';'0';'3';'0';'0';'3'
45600;5;7;'24';'12';'0';'12';'0';'8';'4'
45600;6;3;'1';'1';'0';'1';'0';'0';'1'
45600;9;5;'5';'5';'0';'5';'0';'0';'5'
45602;5;7;'52';'25';'0';'25';'0';'5';'20'
45602;9;5;'8';'8';'0';'8';'0';'1';'7'
45604;5;7;'3';'1';'0';'1';'0';'1';'0'
