szkod;szpntip;nemz;hnev1;hnev2;hnev3;tnev;rovid;allapot;tajaz
'1088';'P';;'PLATÓN PÁRT';;;'PLATÓN PÁRT';'PLATÓN PÁRT';1;'566'
'1089';'P';;'SZÍNES MAGYARORSZÁG PÁRT';;;'SZÍNES MAGYARORSZÁG PÁRT';'SZIMAP';1;'567'
'1090';'P';;'HAZA ÉS BECSÜLET PÁRT';;;'HAZA ÉS BECSÜLET PÁRT';'HAZA ÉS BECSÜLET';1;'568'
'1091';'N';1;'BOLGÁR ORSZÁGOS ÖNKORMÁNYZAT';;;'BOLGÁR ORSZÁGOS ÖNKORMÁNYZAT';'-';1;'569'
'1092';'P';;'ÜTŐKÉPES DEMOKRATÁK A';'VÁLTOZÁSÉRT NÉPPÁRT';;'ÜTŐKÉPES DEMOKRATÁK A VÁLTOZÁSÉRT NÉPPÁRT';'ÜDV NÉPPÁRT';1;'0'
'1093';'P';;'MAGYAR IGAZSÁG ÉS ÉLET PÁRTJA';;;'MAGYAR IGAZSÁG ÉS ÉLET PÁRTJA';'MIÉP';1;'571'
'1094';'N';8;'MAGYARORSZÁGI ROMÁNOK ORSZÁGOS';'ÖNKORMÁNYZATA';;'MAGYARORSZÁGI ROMÁNOK ORSZÁGOS ÖNKORMÁNYZATA';'MROÖ';1;'572'
'1095';'P';;'SZEGÉNY EMBEREK';'MAGYARORSZÁGÉRT PÁRT';;'SZEGÉNY EMBEREK MAGYARORSZÁGÉRT PÁRT';'SZEM PÁRT';1;'597'
'1096';'P';;'REND ÉS ELSZÁMOLTATÁS PÁRT';;;'REND ÉS ELSZÁMOLTATÁS PÁRT';'REND PÁRT';1;'577'
'1097';'P';;'TENNI AKARÁS MOZGALOM';;;'TENNI AKARÁS MOZGALOM';'-';1;'0'
'1098';'N';3;'ORSZÁGOS HORVÁT ÖNKORMÁNYZAT';;;'ORSZÁGOS HORVÁT ÖNKORMÁNYZAT';'OHÖ';1;'576'
'1099';'P';;'EGYENLŐSÉG ROMA PÁRT';;;'EGYENLŐSÉG ROMA PÁRT';'ERP';1;'0'
'1100';'P';;'EGYIKRE SEM PÁRT';;;'EGYIKRE SEM PÁRT';'EGYIKRE SEM';4;'0'
'1101';'P';;'KÖZÖS NEVEZŐ 2018';;;'KÖZÖS NEVEZŐ 2018';'KÖZÖS NEVEZŐ';1;'578'
'1102';'P';;'CIVIL MOZGALOM';;;'CIVIL MOZGALOM';'CIVIL MOZGALOM';1;'583'
'1103';'N';6;'ORSZÁGOS ÖRMÉNY ÖNKORMÁNYZAT';;;'ORSZÁGOS ÖRMÉNY ÖNKORMÁNYZAT';'-';1;'0'
'1104';'P';;'EURÓPAI ALTERNATÍVA PÁRT';;;'EURÓPAI ALTERNATÍVA PÁRT';'EU ALTERNATÍVA';1;'584'
'1105';'P';;'EGYÜTT AZ ÚJ MAGYARORSZÁGÉRT';'2018 PÁRT';;'EGYÜTT AZ ÚJ MAGYARORSZÁGÉRT 2018 PÁRT';'EUMP 2018';4;'585'
'1106';'P';;'NEMZETI ÉRTÉKELVŰ PÁRT';;;'NEMZETI ÉRTÉKELVŰ PÁRT';'NÉP';1;'586'
'1107';'P';;'MAGYAR AUTÓSOKÉRT PÁRT';;;'MAGYAR AUTÓSOKÉRT PÁRT';'MAP';1;'0'
'1108';'P';;'NEMZETI EGYSÉGBEN';'MAGYARORSZÁGÉRT PÁRT';;'NEMZETI EGYSÉGBEN MAGYARORSZÁGÉRT PÁRT';'N.E.M. PÁRT';1;'589'
'1109';'P';;'TISZTA ENERGIÁVAL';'MAGYARORSZÁGÉRT PÁRT';;'TISZTA ENERGIÁVAL MAGYARORSZÁGÉRT PÁRT';'TEMPO PÁRT';1;'591'
'1110';'P';;'"MEGTARTÁS A JÖVŐ ÉLHETŐ';'MAGYARORSZÁGÁÉRT"';;'"MEGTARTÁS A JÖVŐ ÉLHETŐ MAGYARORSZÁGÁÉRT"';'"MEGTARTÁS PÁRTJA"';1;'0'
'1111';'P';;'SZABADSÁG NÉPE PÁRT';;;'SZABADSÁG NÉPE PÁRT';'SZNP';1;'0'
'1112';'P';;'MAGYAR DEMOKRÁCIÁÉRT ÉS';'HAZÁÉRT PÁRT';;'MAGYAR DEMOKRÁCIÁÉRT ÉS HAZÁÉRT PÁRT';'MDHP';1;'598'
'1113';'P';;'ELLENZÉKI PÁRT';;;'ELLENZÉKI PÁRT';'ELLENZÉKI PÁRT';1;'0'
'1114';'P';;'ÖSSZEFOGÁS A CIVILEKÉRT PÁRT';;;'ÖSSZEFOGÁS A CIVILEKÉRT PÁRT';'OCP';1;'673'
'1115';'P';;'EURÓPAI FÜGGETLEN-CENTRUM PÁRT';;;'EURÓPAI FÜGGETLEN-CENTRUM PÁRT';'FÜGGETLEN-CENTRUM PART (FCP)';4;'674'
'1116';'P';;'EGYÜTT A MAGYAR KISEBBSÉGEKÉRT';'ÉS HÁTRÁNYOS HELYZETŰEKÉRT';'PÁRT';'EGYÜTT A MAGYAR KISEBBSÉGEKÉRT ÉS HÁTRÁNYOS HELYZETŰEKÉRT PÁRT';'EMKHHP';1;'0'
'1117';'P';;'MAGYAR NYUGDÍJAS KÉPVISELETI';'PÁRT';;'MAGYAR NYUGDÍJAS KÉPVISELETI PÁRT';'M NY K P';4;'0'
'1118';'P';;'SZABAD VÁLASZTÓK PÁRTJA';;;'SZABAD VÁLASZTÓK PÁRTJA';'SZAVA';1;'0'
