tip;id;sorsz;szkod
'J';4082;1;1025
'J';4084;1;1047
'J';4086;1;1036
'J';4087;1;1064
'J';4088;1;1064
'J';4089;1;1101
'J';4090;1;1036
'J';4091;1;1066
'J';4092;1;1071
'J';4093;1;1047
'J';4094;1;1109
'J';4095;1;1040
'J';4096;1;1001
'J';4097;1;1047
'J';4099;1;1066
'J';4100;1;1055
'J';4101;1;1087
'J';4102;1;1066
'J';4103;1;1064
'J';4104;1;1047
'J';4105;1;1095
'J';4106;1;1064
'J';4107;1;1064
'J';4108;1;1064
'J';4109;1;1064
'J';4110;1;1033
'J';4111;1;1005
'J';4112;1;1101
'J';4113;1;1047
'J';4114;1;1040
'J';4115;1;1025
'J';4116;1;1064
'J';4117;1;1010
'J';4118;1;1047
'J';4119;1;1025
'J';4120;1;1066
'J';4121;1;1025
'J';4122;1;1095
'J';4123;1;1005
'J';4124;1;1064
'J';4125;1;1010
'J';4126;1;1066
'J';4129;1;1066
'J';4130;1;1036
'J';4133;1;1040
'J';4134;1;1009
'J';4134;2;1075
'J';4135;1;1066
'J';4136;1;1066
'J';4137;1;1064
'J';4138;1;1066
'J';4140;1;1070
'J';4141;1;1066
'J';4142;1;1101
'J';4143;1;1066
'J';4144;1;1047
'J';4145;1;1047
'J';4146;1;1041
'J';4147;1;1047
'J';4148;1;1022
'J';4149;1;1066
'J';4150;1;1064
'J';4151;1;1101
'J';4152;1;1072
'J';4153;1;1066
'J';4154;1;1040
'J';4155;1;1050
'J';4156;1;1050
'J';4157;1;1009
'J';4157;2;1075
'J';4158;1;1050
'J';4159;1;1036
'J';4160;1;1064
'J';4161;1;1087
'J';4162;1;1047
'J';4163;1;1079
'J';4164;1;1010
'J';4165;1;1064
'J';4166;1;1041
'J';4167;1;1010
'J';4168;1;1036
'J';4169;1;1025
'J';4170;1;1040
'J';4171;1;1064
'J';4172;1;1066
'J';4173;1;1096
'J';4174;1;1011
'J';4175;1;1036
'J';4176;1;1011
'J';4177;1;1070
'J';4178;1;1047
'J';4179;1;1064
'J';4180;1;1076
'J';4181;1;1087
'J';4182;1;1047
'J';4183;1;1064
'J';4184;1;1096
'J';4185;1;1064
'J';4186;1;1079
'J';4187;1;1009
'J';4187;2;1075
'J';4188;1;1055
'J';4189;1;1047
'J';4190;1;1011
'J';4191;1;1047
'J';4192;1;1064
