sfid;oszint;sfmaz;sfevk;valtip;forr;jogi;eredm;a;b;c;d;e;f;ie;ilis;ilev;j;ke;klis;m;n;jojkv;feldar;levell;levszl;eid
40036;1;'17';'01';'J';0;'N';1;59901;0;0;0;59901;40351;0;0;0;40351;40303;0;601;39702;87;'98.86';'0';0;3845
40037;1;'17';'02';'J';0;'N';1;58844;0;0;0;58844;39335;0;0;0;39335;39312;0;408;38904;114;'99.13';'0';0;3880
40038;1;'17';'03';'J';0;'N';1;59409;0;0;0;59409;39393;0;0;0;39393;39363;0;355;39008;85;'98.84';'0';0;3834
40039;1;'18';'01';'J';0;'N';1;66930;0;0;0;66930;50390;0;0;0;50390;50336;0;492;49844;80;'98.77';'0';0;3825
40040;1;'18';'02';'J';0;'N';1;67298;0;0;0;67298;49209;0;0;0;49209;49184;0;332;48852;121;'99.18';'0';0;3809
40041;1;'18';'03';'J';0;'N';1;65522;0;0;0;65522;47574;0;0;0;47574;47545;0;596;46949;162;'99.39';'0';0;3870
40042;1;'19';'01';'J';0;'N';1;69084;0;0;0;69084;50718;0;0;0;50718;50688;0;339;50349;91;'98.91';'0';0;3849
40043;1;'19';'02';'J';0;'N';1;69376;0;0;0;69376;48825;0;0;0;48825;48793;0;733;48060;97;'98.98';'0';0;3920
40044;1;'19';'03';'J';0;'N';1;66470;0;0;0;66470;45909;0;0;0;45909;45865;0;301;45564;115;'99.14';'0';0;3856
40045;1;'19';'04';'J';0;'N';1;67498;0;0;0;67498;47017;0;0;0;47017;46968;0;365;46603;127;'99.22';'0';0;3897
40046;1;'20';'01';'J';0;'N';1;73991;0;0;0;73991;54792;0;0;0;54792;54741;0;430;54311;143;'99.31';'0';0;3874
40047;1;'20';'02';'J';0;'N';1;70493;0;0;0;70493;48452;0;0;0;48452;48417;0;389;48028;145;'99.32';'0';0;3858
40048;1;'20';'03';'J';0;'N';1;72259;0;0;0;72259;49493;0;0;0;49493;49444;0;477;48967;137;'99.28';'0';0;3882
